Car Name,Make,Model,KM's driven,Price,Fuel_Diesel,Fuel_Hybrid,Fuel_Petrol,Transmission_Manual,Car Age
Suzuki ravi,Suzuki,Ravi,60000,1500000,False,False,True,True,7
suzuki swift 2013 model sindh number,Suzuki,Swift,99000,1820000,False,False,True,True,11
suzuki alto vxl ags 2022,Suzuki,Alto,7300,2815000,False,False,True,False,2
lancer 2005,Mitsubishi,Lancer,112233,1200000,False,False,True,True,19
This car is in good condition and also it's engine,Suzuki,Swift,123000,2200000,False,False,True,True,8
foll saond sistam,Suzuki,Baleno,75000,560000,False,False,True,True,19
Daihatsu Coure 2011 Automatic,Daihatsu,Cuore,35000,1200000,False,False,True,False,13
Wagon R 2018 Full Perfect Never Open 0 Accident,Suzuki,Wagon R,93575,1925000,False,False,True,True,6
Blaeno Suzuki 2003model,Suzuki,Baleno,99999,930000,False,False,True,True,21
changan karvaan plus 2022 model urgent sale biomatric available,Changan,Karvaan,7000,2200000,False,False,True,True,2
wagon R 2019 model,Suzuki,Wagon R,50000,2500000,False,False,True,True,5
Xli 2020 model Saaf gari,Toyota,Corolla XLI,48000,4300000,False,False,True,False,4
toyota corrolla Gli total geniune,Toyota,Corolla GLI,60000,2195000,False,False,True,True,5
faw xpv for sale,FAW,X-PV,150000,900000,False,False,True,True,10
Toyota Yaris,Toyota,Yaris,42000,4100000,False,False,True,False,3
Carry bolan for sale 2009(0332-5267699),Suzuki,Bolan,100000,860000,False,False,True,True,15
Mehran 2011 model,Suzuki,Mehran VXR,35000,530000,False,False,True,True,13
Honda City 1.3 iVTEC 2010,Honda,City IVTEC,210000,2490000,False,False,True,True,14
Mira ES,Daihatsu,Mira,100000,2070000,False,False,True,False,12
new tire new Battery koi kaam ni hone wala,Daihatsu,Hijet,5700,1150000,False,False,True,False,7
Toyota Corolla 1.3 GLi Manual,Toyota,Corolla GLI,105000,2650000,False,False,True,True,12
Suzuki Swift DLX 2016,Suzuki,Swift,74000,2225000,False,False,True,True,8
Suzuki swift dlx 2019,Suzuki,Swift,62000,2690000,False,False,True,True,5
wagon r VXL 2021 b2b genuine,Suzuki,Wagon R,8000,2900000,False,False,True,True,3
Suzuki Bolan carry diba,Suzuki,Bolan,46500,850000,False,False,True,True,9
Daihatsu currently 2009,Daihatsu,Cuore,84512,745000,False,False,True,True,16
Toyota corolla xli 2007,Toyota,Corolla XLI,150000,1650000,False,False,True,True,17
Honda city 2005 03115777508,Honda,City IDSI,95000,1625000,False,False,True,True,19
Chevrolet joy 2009 better than mehran alto coure,Chevrolet,Joy,107000,900000,False,False,True,True,15
100% genuine.  in doctor use,Honda,Civic Oriel,90000,4850000,False,False,True,False,7
Toyota Yaris ATIV X CVT-i 1.5 Excellent Condition 2021,Toyota,Yaris,20000,4380000,False,False,True,False,3
"Suzuki Every sofa set 2021 Model, Fresh Import 2023 fx price investme",Suzuki,Every,15654,3270000,False,False,True,False,3
Hyundai Santro Club 2003 Bumper to bumper Total Genuan brand new tyers,Hyundai,Santro,123456,825000,False,False,True,True,21
Suzuki Alto 2004 November Model Karachi  Running position,Suzuki,Alto,100000,480000,False,False,False,True,20
Kia classic,KIA,Classic,12345,450000,False,False,True,True,24
Urgent Sell Kia Spectra Silver 2002,KIA,Spectra,120000,550000,False,False,False,True,22
good condition,Suzuki,Mehran VXR,70000,820000,False,False,True,True,12
Daihatsu Move,Daihatsu,Move,77000,2275000,False,False,True,False,12
Suzuki Alto VXR 2021,Suzuki,Alto,70000,2350000,False,False,True,True,3
Suzuki Mehran vxr 2006 mint conditions,Suzuki,Mehran VXR,1234,545000,False,False,True,True,18
Wagon R vxr,Suzuki,Wagon R,122000,2100000,False,False,True,True,6
DAIHATSU HIJET 12/18,Daihatsu,Hijet,130000,1395000,False,False,True,False,6
Honda City 1.5 Aspire 2019,Honda,City IVTEC,43000,4200000,False,False,True,False,5
hundai santro,Hyundai,Santro,90000,1055000,False,False,True,True,17
3453371223,Daihatsu,Cuore,12378,580000,False,False,True,True,23
Honda civic 2010,Honda,Civic Prosmetic,92000,2600000,False,False,True,False,14
cultus vxr ac 7/8 modal urgent sail need money,Suzuki,Cultus VXR,85421,836999,False,False,True,True,16
SUZUKI BOLAN ORIGINAL FOR SALE IN 8.5 LAKH O32O778O287,Suzuki,Bolan,95500,840000,False,False,True,True,10
faw v2 argent sell my car,FAW,V2,75000,1550000,False,False,True,True,6
home use car hai sirf shokeen he rabta karay no chaska plz,Toyota,Corolla GLI,250000,2225000,False,False,True,True,15
Hyundai santro GV ( 03015700178 ),Hyundai,Santro,80000,970000,False,False,True,True,18
Corolla Gli 2016 Manual (front accidental),Toyota,Corolla GLI,94000,3000000,False,False,True,True,8
Toyota Corolla Xli 2008,Toyota,Corolla XLI,150000,2100000,False,False,True,True,16
corrolla GLi all ok 2 piece shower,Toyota,Corolla GLI,230000,2400000,False,False,True,True,12
good condition family used car,Suzuki,Wagon R,83000,1680000,False,False,True,True,9
Suzuki Cultus 2015 Total Genuine,Suzuki,Cultus VXR,115000,1625000,False,False,True,True,9
Santro club 2004 for sale,Hyundai,Santro,177100,750000,False,False,True,True,20
Santro Club 2005,Hyundai,Santro,95000,910000,False,False,True,True,19
santro 2005,Hyundai,Santro,1234,800000,False,False,True,True,19
kia Picanto 2021 auto transmission,KIA,Picanto,18000,3100000,False,False,True,False,3
Urgent sale  Contect on 03003552081,Toyota,Corolla GLI,180000,2900000,False,False,True,False,10
Toyota Carolla 2011 full original for sale,Toyota,Corolla GLI,82000,2550000,False,False,True,True,13
Mitsubishi Ek wagon 2015 (03408730882),Mitsubishi,Ek Wagon,50000,2080000,False,False,True,False,9
honda city idsi vario,Honda,City Vario,160000,1580000,False,False,True,False,18
Suzuki every model 2010/import2014/reg2017,Suzuki,Every,200000,1450000,False,False,True,False,14
KIA Picanto,KIA,Picanto,65000,2700000,False,False,True,False,3
karvaan plus.,Changan,Karvaan,12700,2600000,False,False,True,True,2
Suzuki bolan,Suzuki,Bolan,60700,1375000,False,False,True,True,5
HONDA CITY,Honda,City IVTEC,29400,4050000,False,False,True,True,3
Coure 2007,Daihatsu,Cuore,245128,780000,False,False,True,True,17
Honda City idsi Vario Automatic,Honda,City Vario,223000,1725000,False,False,True,False,19
Suzuki ravi 2005,Suzuki,Ravi,100000,290000,False,False,True,True,19
Urgent for sale,Suzuki,Bolan,55000,720000,False,False,False,True,16
2009 Full Okay Carry daba,Suzuki,Bolan,91000,950000,False,False,True,True,15
Mira L 2015/ 17 Pleo,Daihatsu,Mira,70000,1920000,False,False,True,False,9
Santro Club EFI Original Condition,Hyundai,Santro,153000,950000,False,False,True,True,18
Suzuki Mehran VXR 2006,Suzuki,Mehran VXR,123456,499999,False,False,True,True,18
genion santro own name,Hyundai,Santro,194857,720000,False,False,True,True,21
Suzuki Swift DLX 1.3 Navigation 2021,Suzuki,Swift,41000,3350000,False,False,True,False,3
Mehran vxr 2006,Suzuki,Mehran VXR,100000,500000,False,False,True,True,18
Honda City 2017 Model Islamabad,Honda,City IVTEC,160000,3300000,False,False,True,True,7
"honda Civic VTI oriel 2005 sunroof edition, excellent condition",Honda,Civic Oriel,130000,1575000,False,False,True,True,19
Hyundai Santro Executive full option,Hyundai,Santro,120000,985000,False,False,True,True,19
fresh. Corolla gli for sale,Toyota,Corolla GLI,66000,4250000,False,False,True,True,6
suzuki swift 2013,Suzuki,Swift,110000,1590000,False,False,True,True,11
Suzuki bolan 2017 Model Available for sale. just buy and drive,Suzuki,Bolan,58000,1099000,False,False,True,True,7
Suzuki Alto VX converted to VXR,Suzuki,Alto,22000,2370000,False,False,True,True,3
lancer 2005 modal 2007 register,Mitsubishi,Lancer,139000,1350000,False,False,True,False,19
Suzuki Mehran vxr 2017,Suzuki,Mehran VXR,78000,1115000,False,False,True,True,7
TOYOTA ALTIS GRANDE,Toyota,Altis Grande,71500,4900000,False,False,True,False,6
Toyota Passo keyless remote addition door sensor,Toyota,Passo,90000,1590000,False,False,True,False,18
Yaris 2021 gli manual,Toyota,Yaris,36000,3800000,False,False,True,True,3
Mitsubishi minicab for sale,Mitsubishi,Minicab Bravo,90000,1050000,False,False,True,True,11
Suzuki alto Ene charg,Suzuki,Alto,48000,2800000,False,False,True,False,7
suzuki bolan,Suzuki,Bolan,76240,550000,False,False,True,True,23
Honda city 1.2L CVT,Honda,City IVTEC,3700,4600000,False,False,True,False,2
new condition car for sale03134557952,Suzuki,Mehran VXR,40000,530000,False,False,True,True,16
Toyota Corolla X,Toyota,Corolla Assista,166000,2600000,False,False,True,True,20
diahutsu coure 2007,Daihatsu,Cuore,100000,735000,False,False,True,True,17
CITY 2004 AUTO,Honda,City Vario,108000,1400000,False,False,True,False,20
Santro Club GV Model 2008 (Power Windows Power Steering),Hyundai,Santro,111000,965000,False,False,True,True,16
Suzuki Alto Vxr,Suzuki,Alto,178526,1000000,False,False,False,True,14
"Coure 2005 
Kark water droping engon0",Daihatsu,Cuore,300000,580000,False,False,True,True,19
Alto AGS 2020,Suzuki,Alto,40500,2525000,False,False,True,False,4
TOYOTA YARIS 1.5 TOP OFF THE LINE VARIANT,Toyota,Yaris,48000,4175000,False,False,True,False,4
model 2010 or register 2013 good condition ma hai urgent sale,Daihatsu,Mira,109621,1660000,False,False,True,False,14
Hyundai Santro 2004,Hyundai,Santro,186000,1275000,False,False,True,True,20
Yaris 1.5 ativ x 2020 karachi registered,Toyota,Yaris,36000,4500000,False,False,True,False,4
Honda city 2010,Honda,City IVTEC,165000,2325000,False,False,True,True,14
civic 2007 Black beauty Automatic,Honda,Civic Prosmetic,142000,1790000,False,False,True,False,17
Honda civic reborn 2008 model,Honda,Civic Prosmetic,130741,1740000,False,False,True,False,16
"Honda city 1.5 IVTEC, Army officer's driven , first owner, excellent c",Honda,City IVTEC,58000,3480000,False,False,True,True,7
Honda City 2016 silver metallic,Honda,City IVTEC,53600,3800000,False,False,True,False,8
Honda city 2008 model,Honda,City IDSI,200000,1620000,False,False,True,True,16
Honda city 2003 EXI Automatic Bumper to bumper,Honda,City IDSI,12345,1315000,False,False,True,False,21
Chevrolet joy,Chevrolet,Joy,1234,625000,False,False,True,True,18
wagon r vxl lhr no total genuine 03065923988,Suzuki,Wagon R,110000,2450000,False,False,True,True,5
Suzuki bolan,Suzuki,Bolan,65000,1350000,False,False,True,True,7
Lush Gli For Sale,Toyota,Corolla GLI,120000,2860000,False,False,True,True,13
Suzuki Wagon R Silver VXL Manual,Suzuki,Wagon R,47000,2600000,False,False,True,True,3
Gift for santro lovers,Hyundai,Santro,10000,745000,False,False,True,True,23
Suzuki wagon R 2018,Suzuki,Wagon R,119000,1900000,False,False,True,True,6
coure 2008 batter then alto mehran cultus,Daihatsu,Cuore,1234,695000,False,False,True,True,16
home used car  sealed engine  50  repainted due scratch. trnsfer  must,Suzuki,Wagon R,50000,1800000,False,False,True,True,8
santro 2006Rs847000//0/3/4/8/4/4/8/0/8/5/0//,Hyundai,Santro,75000,847000,False,False,True,True,18
3300321199,Mercedes,E Class,80000,3500000,False,False,True,False,22
Honda city 2005,Honda,City IDSI,100500,1475000,False,False,True,True,19
asalam u alikum im selling mira 2015 model registration 2018 i,Daihatsu,Mira,99000,2340000,False,False,True,False,6
mira x memorial 2014reg 2016 oraginal condition,Daihatsu,Mira,100000,2050000,False,False,True,False,10
coure car for urgent sell,Daihatsu,Cuore,95000,650000,False,False,True,True,17
changan Alsvin 1.3 mt manual,Changan,Alsvin,21600,3500000,False,False,True,True,3
Toyota passo 2007,Toyota,Passo,210000,1840000,False,False,True,False,17
Toyota Corolla Xli 2011,Toyota,Corolla XLI,150000,2375000,False,False,True,True,13
baleno 2003 model lush condition,Suzuki,Baleno,100000,870000,False,False,True,True,21
Hyundai Santro 2007,Hyundai,Santro,169500,895000,False,False,True,True,17
Suzuki Hiroof  2018 Model,Suzuki,Bolan,12345,1280000,False,False,True,True,6
gli altis 2015. face uplift. 2022. fully modified.,Toyota,Corrolla Altis,145000,3400000,False,False,True,False,9
Suzuki Swift DLX 1.3 2017,Suzuki,Swift,71000,2200000,False,False,True,True,7
Passo XS,Toyota,Passo,18830,4300000,False,False,True,False,4
Honda civic Oriel 1.8 I VTEC,Honda,Civic Oriel,75000,4790000,False,False,True,False,7
Suzuki wegonR VXL 2021 100% geniune low mileage,Suzuki,Wagon R,21000,2729000,False,False,True,True,3
Honda city 2006 for sale,Honda,City IDSI,28005,1600000,False,False,True,True,18
Changan Karvaan Plus 2022 A1 Condition,Changan,Karvaan,2400,2750000,False,False,True,True,2
Toyota Yaris 1.5 ATVIV Auto 2021,Toyota,Yaris,32000,4700000,False,False,True,False,3
Suzuki mehran VXR,Suzuki,Mehran VXR,150000,550000,False,False,False,True,21
Suzuki cultus vxr 0326 8870366,Suzuki,Cultus VXR,69000,825000,False,False,True,True,21
Alto Japanese Eco idle,Suzuki,Alto,44000,2300000,False,False,True,False,10
santro,Hyundai,Santro,150000,775000,False,False,True,True,19
KIA CLASSIC A COMFORTABLE FAMILY USE CAR,KIA,Classic,150000,700000,False,False,False,True,22
e230 2000/2013,Mercedes,E Class,159123,1875000,False,False,True,False,24
Suzuki alto 2008 buy & drive,Suzuki,Alto,45000,870000,False,False,True,True,16
total original car in paint 100% engine and suspension.,Honda,Civic Oriel,105000,4630000,False,False,True,False,7
Suzuki mehran VXR phone number 03074890294,Suzuki,Mehran VXR,60000,1200000,False,False,True,True,7
model 2011. import 2015. register 02018. total orgnal. sofa seat. i,Toyota,Passo,100000,2150000,False,False,True,False,13
toyota yaris,Toyota,Yaris,45000,3750000,False,False,True,False,3
3462569397,Suzuki,Bolan,1234,980000,False,False,False,True,14
shaikh,Suzuki,Bolan,10000,640000,False,False,True,True,14
COURE CX AUTOMATIC,Daihatsu,Cuore,150000,850000,False,False,True,False,17
HIJET SALE,Daihatsu,Hijet,73000,1335000,False,False,True,False,13
HONDA CIVIC REBORN 2010,Honda,Civic Oriel,110000,2350000,False,False,True,False,14
Honda city i. vtec 2012,Honda,City IVTEC,67000,2975000,False,False,True,False,12
Urgent Sale | Honda City 2004 Model.,Honda,City IDSI,150000,1350000,False,False,True,True,20
Honda city 2017,Honda,City IVTEC,92000,3350000,False,False,True,True,7
Suzuki Ravi. 2011,Suzuki,Ravi,94563,720000,False,False,True,True,13
honda city urgent sale 03004462177,Honda,City IDSI,100000,980000,False,False,True,True,22
"Mercedes benz C200 kompressor 
2004 reg 2005",Mercedes,C Class,95000,3000000,False,False,True,False,20
swift 2013 modal Hai Argent for sale,Suzuki,Swift,121000,1600000,False,False,True,True,11
YARIS 1.3 ATIV MT 1329CC [2021] FOR SALE,Toyota,Yaris,42000,4000000,False,False,True,True,3
FAW X-PV,FAW,X-PV,70000,850000,False,False,True,True,7
Daihatsu Move 2014/2017,Daihatsu,Move,99000,2095000,False,False,True,False,10
Toyota Corolla GLI white 2018,Toyota,Corolla GLI,123456,3750000,False,False,True,True,6
coure 2006 for sell,Daihatsu,Cuore,120000,900000,False,False,True,True,18
Toyota Corolla GLI 2013/14,Toyota,Corolla GLI,200000,2650000,False,False,True,True,11
Toyota carolla xli 2007,Toyota,Corolla XLI,150000,1800000,False,False,True,True,17
Corolla Gli 1.3,Toyota,Corolla GLI,100000,1430000,False,False,True,True,20
honda city 1.5 aspire 2017 automatic,Honda,City Aspire,67000,3450000,False,False,True,False,7
Daihatsu Mira 2016/20,Daihatsu,Mira,82000,2800000,False,False,True,False,8
mehran 2014,Suzuki,Mehran VXR,10000,900000,False,False,True,True,10
Suzuki alto VXR 1000cc 2005 modal 03339116907,Suzuki,Alto,150000,700000,False,False,False,True,19
Wagon R vxl 2018,Suzuki,Wagon R,49000,2240000,False,False,True,True,6
Honda city aspire 2017 Manual,Honda,City Aspire,62000,3650000,False,False,True,True,7
Honda city vario,Honda,City Vario,154000,1670000,False,False,True,False,19
Mehran 2014,Suzuki,Mehran VXR,56000,930000,False,False,True,True,10
Honda civic 2004 automatic,Honda,Civic Oriel,20000,1550000,False,False,True,False,20
Honda City Aspire 1.5 Prosmatec i-VTEC,Honda,City Aspire,75000,3650000,False,False,True,False,8
Suzuki Swift GL CVT 2022,Suzuki,Swift,10000,4280000,False,False,True,False,2
Cultus 2012 Vxri,Suzuki,Cultus VXR,82500,1235000,False,False,True,True,12
COURE 2010 CX ECO MANUAL FOR SALE,Daihatsu,Cuore,100000,900000,False,False,True,True,14
Honda Civic,Honda,Civic Oriel,95000,2700000,False,False,True,False,14
Honda City 1.3 Auto 2016,Honda,City IVTEC,99000,3395000,False,False,True,False,8
Corolla Altis 1.6 automatic,Toyota,Corrolla Altis,110000,4600000,False,False,True,False,7
Bolan euro 2 for sale 2013,Suzuki,Bolan,16000,800000,False,False,True,True,11
hijet 13 modal 18 register ha,Daihatsu,Hijet,165280,1350000,False,False,True,False,11
KIA Picanto,KIA,Picanto,43000,2975000,False,False,True,False,3
Mira 2014/2017,Daihatsu,Mira,92000,2075000,False,False,True,False,10
Sale of Car,Suzuki,Alto,125000,650000,False,False,True,True,20
daihatsu 2013,Daihatsu,Move,117000,1625000,False,False,True,False,11
Toyota Passo,Toyota,Passo,80000,3725000,False,False,True,False,6
WagonR VXL 2015 Almost Genuine,Suzuki,Wagon R,134000,1750000,False,False,True,True,9
Sazuki swift neat and clean 2014 urgent sell,Suzuki,Swift,120000,1940000,False,False,True,True,10
honda city,Honda,City Vario,20000,820000,False,False,True,True,24
hijet 2011 model number registered in 2017 bumper to bumper genuine,Daihatsu,Hijet,95500,1025000,False,False,True,False,13
Kia picanto - just like new!,KIA,Picanto,42386,2950000,False,False,True,True,3
Economy Car,Daihatsu,Mira,145000,2300000,False,False,True,False,12
Toyota corolla xli,Toyota,Corolla XLI,130000,1890000,False,False,True,True,14
Mercedes benz c200,Mercedes,C Class,100000,2250000,False,False,True,False,20
Mehran Euro ll Hone Used car,Suzuki,Mehran VXR,90000,1180000,False,False,True,True,6
Suzuki Wagon R VXL Silk Silver 2018,Suzuki,Wagon R,73000,2300000,False,False,True,True,6
KIA Picanto 2022,KIA,Picanto,27000,3280000,False,False,True,False,2
lancer 2005 (03049456438),Mitsubishi,Lancer,120000,1025000,False,False,True,True,19
Suzuki bolan,Suzuki,Bolan,5000,1785000,False,False,True,True,3
Daihatsu hijet,Daihatsu,Hijet,70000,2600000,False,False,True,False,5
passo car available,Toyota,Passo,65000,2070000,False,False,True,False,12
Suzuki alto vxr,Suzuki,Alto,75000,575000,False,False,True,True,18
Alto VXL,Suzuki,Alto,42000,2500000,False,False,True,False,3
Buffer zone 15/A 5 NEAR SARFRAZ AHMED HOME,Honda,Civic Prosmetic,120000,1325000,False,False,True,False,18
Toyota Altis 1.6,Toyota,Corrolla Altis,60000,4775000,False,False,True,False,6
CUORE 2008. FULL ORIGINAL  CONDITION,Daihatsu,Cuore,87000,930000,False,False,True,True,16
Dhaitsu Mira 2016-17. Lsa package.,Daihatsu,Mira,94000,2385000,False,False,True,False,8
mehran vxr,Suzuki,Mehran VXR,70000,1180000,False,False,True,True,7
Daihatsu Hijet 2012 model import 2016,Daihatsu,Hijet,72000,1195000,False,False,True,False,12
Daihatsu Coure,Daihatsu,Cuore,130000,960000,False,False,True,True,17
alto japan 660cc automatic just serious buyers,Suzuki,Alto,100057,1100000,False,False,True,False,18
FAW xpv for sale,FAW,X-PV,183000,600000,False,False,True,True,11
Toyota Corolla GLI 2010 Model For Sale,Toyota,Corolla GLI,10880,2375000,False,False,True,True,14
Honda city 2011,Honda,City IVTEC,225000,2300000,False,False,True,True,13
alloy Ram original colour chil AC,Daihatsu,Mira,200000,750000,False,False,True,True,17
Daihatsu Move,Daihatsu,Move,21995,3425000,False,False,True,False,4
Honda civic 2004 for sale,Honda,Civic Oriel,161500,1425000,False,False,True,True,20
Black Honda city Automatic,Honda,City IVTEC,140000,2250000,False,False,True,False,15
alto ags vxl,Suzuki,Alto,50000,2675000,False,False,True,False,3
HONDA CITY 1.3 WHITE,Honda,City IVTEC,90000,3050000,False,False,True,True,7
Cuore 2008 Sindh Number,Daihatsu,Cuore,111000,800000,False,False,True,True,16
Daihatsu Mira 20/23 4 grade,Daihatsu,Mira,26000,3385000,False,False,True,False,4
Mitsubishi minicab bravo,Mitsubishi,Minicab Bravo,64000,1520000,False,False,True,False,13
"Mitsubishi Ek Wagon 2019, 2023 Reg.",Mitsubishi,Ek Wagon,30000,3200000,False,False,True,False,5
2012/ 2018,Daihatsu,Hijet,134000,1695000,False,False,True,False,12
GLi 18/19 ( Untouch),Toyota,Corolla GLI,87000,4000000,False,False,True,True,6
Honda city 2021 model 1.2 for sale,Honda,City IVTEC,22000,4300000,False,False,True,False,3
good candition total use in house work,Daihatsu,Cuore,200000,1100000,False,False,True,False,15
Suzuki Baleno,Suzuki,Baleno,208000,800000,False,False,True,True,21
Daihatsu Hijet  2013/17,Daihatsu,Hijet,123456,1450000,False,False,True,False,11
Mehran VXR 2010 model neat and clean,Suzuki,Mehran VXR,95293,830000,False,False,True,True,14
Honda civic Rebirth,Honda,Civic Prosmetic,91000,3270000,False,False,True,False,10
Daihatsu Boon / Toyota Passo 2017 lik vitz Aqua Prius City Civic Yaris,Toyota,Passo,63000,3200000,False,False,True,False,7
Honda city first owner 2007,Honda,City IDSI,150000,1270000,False,False,True,True,17
Mira 2010,Daihatsu,Mira,126415,1320000,False,False,True,True,14
Kia classic,KIA,Classic,12345,625000,False,False,True,True,24
